volume_number,volume_name,publication_date,cover_img_name,hey_zine_url
1,Volume 1,03/05/2026,vol_1_cover.png,https://heyzine.com/flip-book/799f7306f8.html
2,Volume 2: Folk Horror,09/08/2026,vol_2_cover.png,https://heyzine.com/flip-book/9c34710179.html
